episode,total_reward,total_energy_cost_p,avg_comfort_penalty,violations
0,-4585.0383637302775,1479.4181865138698,47.5,96
1,-4283.310512015699,1376.2466297711173,44.371203952294564,62
2,-4567.474261636692,1611.2130818346989,47.291666666666664,96
3,-4461.768143886559,1378.0134161227968,46.224561203792746,62
4,-5030.393537021895,1281.3575961328752,52.13610817811705,64
5,-6129.405805686934,1271.184231556807,63.60241792766457,64
6,-5830.908791008921,1309.322405029666,60.482003571961734,62
7,-4308.249727369728,1152.5939849970853,44.63904007989358,61
8,-5702.807562084961,1534.0016456443568,59.09403676220912,64
9,-4698.08794048663,1720.6216273581833,48.59141154103613,62
10,-4586.105654877117,1310.2827438558159,47.5,96
11,-5896.240875126774,1829.4785321442614,61.05626358837383,63
12,-4383.839057856564,1203.5817227821979,45.4204939937596,59
13,-4573.67849446446,781.4247232229357,47.5,96
14,-4366.731297635489,1351.1523400304281,45.23081511286332,92
15,-4365.260791692443,1402.3193650764965,45.219420879072,93
16,-2956.2065319584526,1432.5195947621812,30.49537645899177,47
17,-4588.549646811379,1542.4823405689235,47.5,96
18,-4942.262801329172,1651.0077234031967,51.16346507146986,59
19,-4459.017806854476,1438.9289444521808,46.19259612463991,94
20,-4744.544341088696,1422.4392861248296,49.166099535064575,59
21,-5357.335280113743,1886.951441923498,55.45673178411743,55
22,-4599.025684448051,2178.7842224024216,47.5,96
23,-4584.856724249602,1420.336212480123,47.5,96
24,-4583.4072625018825,1377.8631250941378,47.5,96
25,-5478.719699864444,1695.1877931505367,56.74547858334828,32
26,-4789.39002923702,1067.6511851393268,49.69934380764824,55
27,-3871.5168411949594,1410.9997860286796,40.038508807024854,32
28,-6118.4783147325,1161.6350105634756,63.49318348459614,64
29,-4128.177847255867,1387.1219077673245,42.72849384479708,88
30,-5949.603465516139,1321.9336689179613,61.70900825143523,64
31,-6138.255667668985,1516.6879269745807,63.63095738676554,64
32,-3873.6029094606224,1634.5103572873477,40.05429898244662,58
33,-6055.469383689226,1525.3128084618552,62.79961591166656,63
34,-4313.20584262902,1240.815115859513,44.6967660449149,93
35,-6122.630428499043,1301.7727462366715,63.506718474732374,64
36,-4584.459443908422,1340.472195420939,47.5,96
37,-4405.353700059863,1553.1059976914985,45.56553729277118,94
38,-5666.191205556566,1102.6776198355042,58.80507972041517,64
39,-4778.981409837923,1594.0029069351501,49.480222413533546,32
40,-4548.849868271242,1609.0867467502628,47.08716805558578,59
