episode,total_reward,total_energy_cost_p,avg_comfort_penalty,violations,alpha
0,-4443.060248706857,1492.2658585514423,46.00692637016488,94,0.19999998807907104
1,-4132.244929083851,1326.9251677401926,42.80475443467761,64,0.19999998807907104
2,-4571.077256921753,1731.3628460876114,47.291666666666664,96,0.19999998807907104
3,-4952.795265402141,1739.9144790072437,51.26507266481244,63,0.19999998807907104
4,-4580.784115426558,1325.8234263580036,47.48507965520204,61,0.19999998807907104
5,-5995.3038701009355,1657.3907283090455,62.15266724515369,63,0.19999998807907104
6,-2938.379456421515,1425.5324650304872,30.33873757417609,59,0.19999998807907104
7,-3893.6796465420184,1336.7229446461763,40.32963737134475,64,0.19999998807907104
8,-3781.4930575938492,1837.6113485740111,39.03323781898301,59,0.19999998807907104
9,-3391.0312224367917,1676.424724531011,34.9995075827726,57,0.19999998807907104
10,-4114.877219450792,1593.9852267919243,42.54580744703078,90,0.19999998807907104
11,-5251.629272331725,1415.3149484130672,54.43201013920274,64,0.19999998807907104
12,-2965.820391828578,1314.818500097228,30.63775022736076,59,0.19999998807907104
13,-4575.1504642327245,805.0232116362267,47.5,96,0.19999998807907104
14,-3856.523099939939,1565.0196966628275,39.86481985423628,85,0.19999998807907104
15,-4350.768562908185,1394.0467251274595,45.07903779589203,92,0.19999998807907104
16,-6082.626190410601,1330.3699455251165,63.13352907812603,62,0.19999998807907104
17,-3625.1362804741916,1686.3725051107554,37.460508649708096,80,0.19999998807907104
18,-3779.6758561909232,989.8798125122298,39.20758604104872,63,0.19999998807907104
19,-3957.3220690592075,949.7018897293091,41.05914615900646,89,0.19999998807907104
20,-4350.498837175813,1178.3971647995006,45.077925977914816,63,0.19999998807907104
21,-2348.967316255017,1782.7757896293535,24.10376875481698,50,0.19999998807907104
22,-3670.1696055241014,2538.6783813863067,37.71350039475392,80,0.19999998807907104
23,-3270.1812038117982,1369.7303714557104,33.826943712319625,72,0.19999998807907104
24,-4525.967260899583,1233.1274032812685,46.912549092020406,95,0.19999998807907104
25,-2855.8286772931306,1465.0898886038085,29.490384161677643,32,0.19999998807907104
26,-2466.279436207177,744.8526611799871,25.538878989412254,53,0.19999998807907104
27,-3466.5388509667778,1085.2512824784292,35.89722734705426,32,0.19999998807907104
28,-3670.7943086831287,1501.5751154722961,37.942320899725836,62,0.19999998807907104
29,-4487.924082158977,1363.7227919966167,46.49374610749003,96,0.19999998807907104
30,-2009.6251554257556,1135.589222179103,20.715764281064303,46,0.19999998807907104
31,-4653.446907459817,1419.404737831779,48.202175132324776,60,0.19999998807907104
32,-3964.6235293018954,1353.783101578081,41.05101945073266,64,0.19999998807907104
33,-2593.4332224248083,1524.3551511914482,26.743188743760186,50,0.19999998807907104
34,-4312.873148657047,1357.7399913072823,44.67414946698856,93,0.19999998807907104
35,-3143.7838228004057,1644.8474224257395,32.41288410783219,63,0.19999998807907104
36,-4426.733629750015,1493.9196964143214,45.846408706476346,94,0.19999998807907104
37,-3421.996198483254,1369.0513662342814,35.40692886623508,78,0.19999998807907104
38,-4966.85212292905,1255.019538604832,51.52293470996826,61,0.19999998807907104
39,-3670.803724154273,1502.9845236272588,37.94993785085134,31,0.19999998807907104
40,-3825.9105408330042,1397.1022485788271,39.6017551652232,61,0.19999998807907104
41,-3787.407382488091,1155.8100982043943,39.236366463791704,84,0.19999998807907104
42,-5840.807952783563,1293.2729130248567,60.590025984615295,64,0.19999998807907104
43,-4690.268595571292,1775.8025080053133,48.520339014699836,64,0.19999998807907104
44,-4528.669765338384,1505.5262000092407,46.8657212639396,95,0.19999998807907104
45,-2775.351615823059,1956.4719779744341,28.546585169412214,44,0.19999998807907104
46,-3006.9063874597055,1544.5053714837666,31.017357083646157,59,0.19999998807907104
47,-4090.7426625697435,1348.8196767882878,42.357461135770585,87,0.19999998807907104
48,-4201.5322480154,2713.580440396224,43.226152491744536,89,0.19999998807907104
49,-5129.568917423941,863.6700883477052,53.27911995476029,64,0.19999998807907104
50,-3172.798185911225,1660.9361180205005,32.75395274532098,59,0.19999998807907104
51,-3265.9730155774296,1335.876320038109,33.754744678923664,56,0.19999998807907104
52,-3197.062917569476,889.2855655197491,33.15184589853209,74,0.19999998807907104
53,-3472.429401986632,1174.7738702100435,35.959728381066995,64,0.19999998807907104
54,-3443.2049550946276,1522.0187091556782,35.580360217828265,32,0.19999998807907104
55,-2155.2446745805473,1120.6039253228828,22.24461037577176,28,0.19999998807907104
56,-3453.564790135498,1520.799283666948,35.69269587981416,51,0.19999998807907104
57,-2992.345752364318,1353.8040450668411,30.890829911072714,56,0.19999998807907104
58,-3093.6312122781846,1362.595710432048,31.945096854891087,72,0.19999998807907104
59,-4332.970679927533,1370.666255880379,44.89018077927005,93,0.19999998807907104
60,-4289.311598088981,1413.6101422214572,44.410827033797396,60,0.19999998807907104
61,-4410.576686046326,1513.9032517463518,45.64686063553541,56,0.19999998807907104
62,-4329.967726504951,1784.909947365416,44.7819742453921,90,0.19999998807907104
63,-3862.155595517856,1333.5863116251837,39.97795697172241,61,0.19999998807907104
64,-3772.9149588351647,877.4491753543214,39.15902057633415,64,0.19999998807907104
65,-2682.908897173161,1261.6814382949383,27.72161737924233,48,0.19999998807907104
66,-4245.544464250986,1173.7897458219493,44.01581947223485,61,0.19999998807907104
67,-4234.577142379441,2105.1305942479976,43.72108885931749,56,0.19999998807907104
68,-2823.7691146776247,1213.8512060606097,29.179084276629286,59,0.19999998807907104
69,-4673.910458407609,2971.150084634324,48.07278600744712,64,0.19999998807907104
70,-4964.566921543097,1305.5090698847202,51.47559104318126,61,0.19999998807907104
71,-4464.209038823833,1400.7417456920282,46.22598129072907,64,0.19999998807907104
72,-3706.4790559774656,822.9846163419191,38.4465558713607,32,0.19999998807907104
73,-3471.258609344592,809.4176035267645,36.001252679938105,76,0.19999998807907104
74,-3082.1614303549613,1316.4121222192869,31.834720707401846,31,0.19999998807907104
75,-3115.3690027125604,1883.0570790814463,32.06154022011389,32,0.19999998807907104
76,-4051.2196042625337,1435.8946565833091,41.92397615761321,63,0.19999998807907104
77,-874.5502041831147,1314.4227333891085,8.88605989078471,10,0.19999998807907104
78,-2011.4411951919383,1373.5733842770771,20.680413828191636,43,0.19999998807907104
79,-4732.827615554433,1972.163503021754,48.897753598895804,52,0.19999998807907104
80,-4046.4514992252202,1402.4982588872783,41.89949514632786,59,0.19999998807907104
81,-3848.8849812902918,1208.9840038235677,39.87765938764394,61,0.19999998807907104
82,-3635.7075107388546,1186.100311455998,37.66182817197642,79,0.19999998807907104
83,-4088.309871492369,1549.6345043655874,42.27517897296935,88,0.19999998807907104
84,-4493.308653623667,1437.2470904340896,46.521496998072735,95,0.19999998807907104
85,-4403.534520610439,1228.7108569121901,45.65062816116872,94,0.19999998807907104
86,-3712.3958236443123,1221.4728144990427,38.44079549327427,64,0.19999998807907104
87,-4063.4541328146124,1246.8847891061616,42.114233719088425,58,0.19999998807907104
88,-4985.673224418988,1514.5445143808813,51.66544098053513,64,0.19999998807907104
89,-3846.7413355218546,1516.5339149097267,39.78344434607977,87,0.19999998807907104
90,-2986.2340915824875,1312.960643682297,30.863279986550427,53,0.19999998807907104
91,-4596.067775105965,1900.8887552983174,47.5,96,0.19999998807907104
92,-4144.065627768862,1183.8305318311363,42.939468928460826,62,0.19999998807907104
93,-4478.084494291746,1352.1823983308898,46.38219631588675,94,0.19999998807907104
94,-3658.3789064273233,1624.9254222283262,37.806045812320384,64,0.19999998807907104
95,-5090.770334598245,1235.721856552403,52.796936431949995,64,0.19999998807907104
96,-4583.038060295856,1229.403014792732,47.5,96,0.19999998807907104
97,-4326.486262343683,1532.2726236382955,44.76240426948872,91,0.19999998807907104
98,-3210.986097403371,1452.1005992074713,33.17181338978357,59,0.19999998807907104
99,-3561.6084170793088,2759.9530835274686,36.566764118841235,62,0.19999998807907104
100,-3692.994907650491,1405.5361666856895,38.18681441996644,53,0.19999998807907104
101,-2111.094964586815,1278.1779349568983,21.75813964466329,42,0.19999998807907104
102,-3379.818418154312,1063.3904209164375,34.99427718474982,77,0.19999998807907104
103,-3057.9046039022696,1410.704972271868,31.60667192142536,52,0.19999998807907104
104,-4469.598246905635,1844.7634541555171,46.2026351856513,32,0.19637265801429749
105,-4441.7454849765745,1096.9378368608377,46.04017425249331,93,0.19191688299179077
106,-5992.269809668709,2095.402762809549,61.98293494179708,32,0.19038139283657074
107,-4518.854002562,2033.9037880317774,46.64766590418086,95,0.1896330863237381
108,-3543.106668537739,1233.220117343595,36.65044027282154,64,0.18903560936450958
109,-3017.8105165836805,960.3469314354757,31.235453937030943,70,0.189141184091568
110,-2475.137087115003,1513.7325733427244,25.46731703800155,53,0.1900400072336197
111,-2525.1791439443587,1326.2461747400625,26.0276481296829,52,0.19176986813545227
112,-1477.6297198506018,892.4006044846116,15.20605945584282,22,0.19559833407402039
113,-2241.52225996213,1255.0441145561233,23.088764350739666,47,0.1987767070531845
114,-2532.784701858172,1895.1165404588576,25.98835803176036,50,0.20446769893169403
115,-2606.4549872290686,1133.6422774615073,26.914397309164997,63,0.21061250567436218
116,-2151.1368540367057,1324.2602474969008,22.1317880113205,49,0.21729525923728943
