episode,total_reward,total_energy_cost_p,avg_comfort_penalty,violations,alpha
0,-3375.7891343558745,1244.5908551785824,34.92757622137817,76,0.19999998807907104
1,-2917.9658383027954,1459.3763382624024,30.10081574518277,49,0.19999998807907104
2,-4286.15544208993,1918.3178693037096,44.26811546566517,91,0.19999998807907104
3,-3386.537586729959,1438.6114336687008,35.02568081308942,59,0.19999998807907104
4,-5268.166022841252,1225.1644414487093,54.62825764596122,63,0.19999998807907104
5,-6002.73217787474,1572.442115271403,62.21805557884699,62,0.19999998807907104
6,-5075.356051384057,1500.9714095914146,52.57277732491905,64,0.19999998807907104
7,-4702.0940133642325,1297.6529874246446,48.72125993349729,60,0.19999998807907104
8,-3098.2849642411084,1693.5021030262674,31.930884606047737,51,0.19999998807907104
9,-4364.131813527683,1379.4450557270902,45.19888450430358,61,0.19999998807907104
10,-4075.2389162482195,1478.4170247258985,42.16219349743438,89,0.19999998807907104
11,-3019.716947333069,1778.6289498078215,31.13223300350951,53,0.19999998807907104
12,-5069.805263556296,1138.8610903886467,52.58414626821377,63,0.19999998807907104
13,-4575.34290912974,829.6454564870928,47.5,96,0.19999998807907104
14,-4471.933288917125,1476.7933518295333,46.29320231125555,95,0.19999998807907104
15,-4280.718154677867,1423.348762531154,44.306783119033774,93,0.19999998807907104
16,-3128.3668919694624,869.9488665258245,32.40643661082235,53,0.19999998807907104
17,-4059.2073744321438,1553.305817724487,41.9769922716422,86,0.19999998807907104
18,-4343.352453060654,1234.8583348662848,44.998492566284675,64,0.19999998807907104
19,-3636.314198290191,1255.0498427960886,37.61784584827363,81,0.19999998807907104
20,-2724.2726574449916,1067.6991559031208,28.166340357572192,59,0.19999998807907104
21,-2520.481618832285,1810.801021000779,25.895474983461153,52,0.19999998807907104
22,-4342.549341096135,2421.899187641882,44.74647247232602,93,0.19999998807907104
23,-4532.250279971159,1473.9765653421903,46.9106327985866,96,0.19999998807907104
24,-4463.240065578847,1159.3482154626952,46.250553138224916,94,0.19999998807907104
25,-3702.8231970329116,1611.0712108297728,38.274497633503294,32,0.19999998807907104
26,-3034.748082446568,1176.9589179814607,31.38342608423893,59,0.19999998807907104
27,-2150.022036720134,729.1640773862185,22.280091199712626,31,0.19999998807907104
28,-4270.842530555653,1572.056127790137,44.21043133333175,59,0.19999998807907104
29,-3399.2389608765443,884.4987027384975,35.26978111272681,76,0.19999998807907104
30,-3500.6754088573957,1428.8592650017717,36.21352316205584,58,0.19999998807907104
31,-3066.687519156224,1510.1471919631606,31.63629765955167,55,0.19999998807907104
32,-4873.010278698537,1396.8493224150816,50.4955551276066,64,0.19999998807907104
33,-4857.599023340467,1826.687658728364,50.25224239756145,64,0.19999998807907104
34,-4457.484688803333,1406.1708934195408,46.1891799055723,95,0.19999998807907104
35,-5234.825143805326,1639.1900949479827,54.22595147819131,62,0.19999998807907104
36,-4250.84841352892,1324.5467209566505,44.032369574060304,90,0.19999998807907104
37,-4466.785534882328,1574.988123867027,46.21183096255195,93,0.19999998807907104
38,-5009.377985837569,836.5555866693961,52.051009105251886,63,0.19999998807907104
39,-2626.046943323306,1535.6679455363537,27.038370670964355,24,0.19999998807907104
40,-3690.7221011366987,1612.1290037577082,38.12374501105774,64,0.19999998807907104
41,-3664.351763597117,1064.7413245050586,37.984447261531415,77,0.19999998807907104
42,-2113.782495605021,1254.959080840593,21.77951368737717,41,0.19999998807907104
43,-3296.8376332357784,1423.9817775476592,34.06935414255025,58,0.19999998807907104
44,-3232.4717297408383,1448.0674686480243,33.40948312883206,73,0.19999998807907104
45,-4132.91094711542,1779.968300393632,42.68605813653696,51,0.19999998807907104
46,-2680.882598535377,1567.3704329886084,27.624845727870877,56,0.19999998807907104
47,-4577.627071265641,1083.853563281954,47.5,96,0.19999998807907104
48,-4289.122820769584,2432.208920132288,44.19040252465558,92,0.19999998807907104
49,-5616.118012641593,1120.9747861613243,58.281234551232984,64,0.19999998807907104
50,-2213.5873849697014,1461.1450592887209,22.75796337274923,49,0.19999998807907104
51,-3331.224071698807,1430.9386836337267,34.40786768777221,54,0.19999998807907104
52,-3570.333804183115,1167.2227765541588,36.981139048458665,79,0.19999998807907104
53,-2612.51856846908,1540.9793285620492,26.941135228102485,49,0.19999998807907104
54,-2698.2269713215924,1449.6160187380258,27.854527614029507,27,0.19999998807907104
55,-3182.4957110100318,1336.3361294650779,32.921031129382605,32,0.19999998807907104
56,-4362.663755684132,1474.2772485532705,45.1575855282611,64,0.19999998807907104
57,-2743.8130791467956,1121.5670671032385,28.392518102132613,48,0.19999998807907104
58,-4141.833671597051,1585.4242254418816,42.8346373655022,88,0.19999998807907104
59,-3404.0631757492874,1407.7368671083939,35.207900400074166,75,0.19999998807907104
60,-3929.9282196653194,1506.2325973696127,40.63024549706176,53,0.19999998807907104
61,-3386.8896146509887,1478.3356232143387,34.9825302311115,63,0.19999998807907104
62,-4486.404868871179,1700.4657510120164,46.40880785261397,95,0.19999998807907104
63,-3449.5605996302647,1405.7475023064385,35.68953801650142,63,0.19999998807907104
64,-3698.869610096502,951.2805418237068,38.37597915895862,54,0.19999998807907104
65,-3845.3627693435747,1058.4769627172252,39.854096146762814,62,0.19999998807907104
66,-4165.319126341832,1263.9007081822638,43.14782408518946,64,0.19999998807907104
67,-3584.9085136457547,1823.0255820830403,36.986437520875995,58,0.19999998807907104
68,-3273.677230990365,1266.8713680066044,33.83843545448158,62,0.19999998807907104
69,-4037.0907475934746,3128.9199073011473,41.419920306744295,64,0.19999998807907104
70,-3531.486329108377,1339.4780126294904,36.55361217558111,61,0.19999998807907104
71,-4600.150986385733,1513.0090507663676,47.65250838927506,64,0.19999998807907104
72,-4723.151416677459,995.3225323075978,49.042135062826134,32,0.19999998807907104
73,-3802.158586582755,959.8909624578582,39.42875799305832,86,0.19999998807907104
74,-3396.038651905835,1137.3382631166833,35.181165485869805,30,0.19999998807907104
75,-2926.8859587951356,1646.7533554753277,30.164592621725294,31,0.19999998807907104
76,-2074.0635287078844,1446.0576859177002,21.30721223947428,45,0.19999998807907104
77,-2614.1104355135362,1433.844853462108,26.96909935879472,28,0.19999998807907104
78,-2654.061178373165,1473.2100907364138,27.34371850581705,54,0.19999998807907104
79,-5844.052388458982,2092.928772635922,60.468164718815245,64,0.19999998807907104
80,-3802.2038250842265,1225.8487390501878,39.36600885732524,64,0.19999998807907104
81,-4424.38063056574,1312.747808015519,45.81901744172325,59,0.19999998807907104
82,-3877.045509131901,1143.8242610542613,40.168427332404335,86,0.19999998807907104
83,-4091.9479773828475,1474.9358982485232,42.36717978560288,89,0.19999998807907104
84,-4348.37680090402,1613.9097683648479,44.99894380767419,93,0.19999998807907104
85,-4568.056652123347,1464.0770774487937,47.319532401816396,96,0.19999998807907104
86,-4058.0332506019577,1055.7254292601108,42.083528562674545,62,0.19999998807907104
87,-3630.6789620342424,1290.9293593067744,37.55375390466778,53,0.19999998807907104
88,-4427.927149798307,1509.8894807962863,45.839889168566486,63,0.19999998807907104
89,-4507.896960705604,1540.169027018992,46.64680812672109,95,0.19999998807907104
90,-3980.109972826658,1209.3248746947015,41.22732786804963,60,0.19999998807907104
91,-4600.566042511348,2125.8021255673493,47.5,96,0.19999998807907104
92,-4068.02572076431,1208.558308239613,42.14067244374496,64,0.19999998807907104
93,-4535.0072705988405,1303.113297992443,47.01713546498949,95,0.19999998807907104
94,-3499.174313744477,1562.5065062633814,36.14452274603343,60,0.19999998807907104
95,-4838.2701640412315,1280.6477477574967,50.14903342798001,64,0.19999998807907104
96,-4576.5706178533455,1056.0308926673551,47.5,96,0.19999998807907104
97,-3728.145463468466,1759.1219568720098,38.501177336781524,81,0.19999998807907104
98,-3787.265792920493,1419.238546146797,39.168031479141206,62,0.19999998807907104
99,-4635.166963704638,3199.3578433792245,47.650310487885974,59,0.19999998807907104
100,-3152.732261920903,1236.831522339086,32.61297532785544,61,0.19999998807907104
101,-4215.958825490071,1384.3307906879008,43.6684605174616,62,0.19999998807907104
102,-4130.67321751496,1017.2953381549914,42.842471986998554,89,0.19999998807907104
103,-3139.5091884024064,1604.0540187979716,32.41748029194215,60,0.19999998807907104
104,-4377.135433644739,1875.6387008491758,45.23200687112245,32,0.19637411832809448
105,-4212.710659723223,923.1933069384949,43.69371659983805,89,0.19145750999450684
106,-6211.614216619503,2269.161477091303,64.23157278205912,32,0.1881946623325348
107,-4521.374134068191,2041.600212187148,46.67231385233799,95,0.18611830472946167
108,-3762.776629476833,1280.3535845884032,38.92884956026109,63,0.18491294980049133
109,-3394.409364043001,1036.0832083061496,35.1425802070508,74,0.18385212123394012
110,-2733.0746003448653,1572.4711086871523,28.141928939282522,53,0.18440589308738708
111,-2464.423948508542,1407.0105596991984,25.37795559702663,57,0.18475580215454102
112,-1722.01772742582,1014.5738011511254,17.750794285445807,25,0.18504741787910461
113,-2358.964861525593,1167.652812231072,24.32928963834345,48,0.18631809949874878
114,-2830.8053138560613,2172.3842699967136,29.037579463084665,58,0.1890663057565689
115,-2692.634400661544,1161.475629178319,27.807863417478938,64,0.19115400314331055
116,-2585.822170339973,1390.7585035830905,26.64590625279492,60,0.1953035145998001
117,-1381.8852817240574,1055.002421052994,14.17484618023957,27,0.19966349005699158
118,-2028.592231664069,1231.4748168551673,20.874611826322553,45,0.20617438852787018
119,-2043.135701521591,1245.1092658383795,21.023265793800242,52,0.2110506147146225
120,-1226.009617867933,683.2794885711442,12.628583626005314,23,0.2165093719959259
121,-1501.5490482065818,1179.7538439437785,15.395353867996944,27,0.2234889715909958
122,-2145.0540923876983,680.9397712062682,22.202451010037212,50,0.23061536252498627
123,-1661.1665147753977,900.8754570882413,17.116135475350347,34,0.23661717772483826
124,-1206.9717167844938,995.6943933217909,12.365185717896445,25,0.24502578377723694
125,-1871.227016068188,1037.7601433164982,19.275748054186028,47,0.2529902756214142
126,-2667.4606092184513,1228.002877951067,27.53021407978572,62,0.26027536392211914
127,-2153.0045044433523,1360.974780106988,22.143593842095957,50,0.2711844742298126
128,-1253.2217934789671,970.5274429036494,12.852200464800982,27,0.28040021657943726
129,-1631.2367532454023,1377.0080707586167,16.70517283156489,40,0.2898031771183014
130,-2472.8575920743956,1489.8008815272915,25.448558067123443,59,0.29982829093933105
131,-957.6500301729209,885.1073416429685,9.791123784792305,15,0.30787795782089233
132,-1667.1527606418897,799.1299860725803,17.199689176254562,38,0.3142693042755127
133,-1034.9078377105686,613.6256276018707,10.652451303734702,23,0.3220038414001465
134,-1661.230290719103,2553.8043351891706,16.77243962515958,36,0.3322097957134247
135,-960.9107229392545,1153.1260974916124,9.769252093639812,16,0.3398194909095764
136,-987.5188728953802,992.189021522751,10.079948879842968,21,0.34745654463768005
137,-1024.1959450251666,563.1000513226529,10.551395249986598,21,0.35970863699913025
138,-1548.2735609574918,1992.9204000143309,15.712657843304214,37,0.36932599544525146
139,-1182.9477017069519,685.3027869612579,12.179600478830494,12,0.38106635212898254
140,-2789.436277156867,888.8651050227643,28.871447656837613,70,0.3936009705066681
141,-1890.534908053246,1105.8177206612797,19.462693267083534,22,0.4041743576526642
142,-1025.5568347955937,1167.7165677862097,10.439609410831975,19,0.4152154326438904
143,-1872.5322509847242,745.5101877494575,19.350229658643062,39,0.42258334159851074
144,-878.8606263800973,954.7669355989033,8.955888413209575,16,0.43147698044776917
145,-1918.7053399975216,821.4878039032124,19.815370665827693,55,0.43759655952453613
146,-857.628478302478,748.8067227042269,8.777628581754096,13,0.445531964302063
147,-1199.1421790493237,1487.7856992923673,12.182671511077865,23,0.44892212748527527
148,-1241.154796313393,875.9879939737508,12.746198296186646,30,0.45646023750305176
149,-878.570191618343,906.4738949458464,8.962924101244026,17,0.46426671743392944
150,-1730.5342702974287,616.1236313025657,17.898039559076857,41,0.4718606770038605
151,-888.0092160747998,871.2017114846312,9.068595644219863,14,0.4781155586242676
152,-1299.0047367050108,744.0455270823476,13.37628985586838,21,0.48439398407936096
153,-746.4177864673894,852.105610182957,7.597663273580525,8,0.4980778396129608
154,-816.4518933415089,892.3753282655666,8.31879569558539,15,0.5042396187782288
155,-1535.947543014357,633.3791175892997,15.867499590235113,37,0.5150853395462036
156,-1665.180862427958,1915.0337684089288,16.946668615206026,38,0.5222387313842773
157,-867.6060184392312,875.7295360034809,8.855119038741263,14,0.5276094079017639
158,-2749.25549748113,917.0284226383326,28.447030510712114,69,0.5288118720054626
159,-2010.1410504518446,265.1113217003587,20.883737750185798,48,0.5409239530563354
160,-600.2231525534994,964.573904676836,6.051371608957943,6,0.547783613204956
161,-1000.7114179105773,1106.9430878639064,10.202839126596869,5,0.5462151169776917
162,-752.8634045088882,846.9188718892244,7.665885698657331,12,0.5454154014587402
163,-576.0894018883815,702.1009107068029,5.870806079940061,9,0.5445242524147034
164,-2230.4541221868526,422.216338463347,23.14593536893318,58,0.5483372807502747
165,-720.1184743385012,458.6719722944626,7.41192744679804,16,0.5510680675506592
166,-883.2857114640125,1004.5692542993006,9.011920066437774,6,0.5556197166442871
167,-850.7481919754035,784.7119202867885,8.709416183017371,14,0.5568513870239258
168,-1280.9038849037245,596.058485151362,13.219090783340588,25,0.5567877292633057
169,-1055.1544009857967,1017.4128970434006,10.779230656718012,8,0.5586110949516296
170,-937.9638894167554,1011.0176302202412,9.561391008461985,19,0.5610007047653198
171,-772.5694534642971,1026.0865059915106,7.836955451504864,12,0.562070906162262
172,-1084.1914401386148,656.2711167647838,11.157458518784578,22,0.5593795776367188
173,-1409.9579149590813,1004.1886013981461,14.477855655532485,38,0.561004638671875
174,-721.6643384692342,836.6206579373929,7.343040888650896,14,0.5622559189796448
175,-725.7854566879524,727.5209757311966,7.4086983038888405,14,0.5659257173538208
176,-1207.4386847072583,1236.4831339427785,12.319885646129196,13,0.5660289525985718
177,-939.0733546505207,485.0518230335419,9.680961647810937,19,0.5752328634262085
178,-693.6422667119169,767.3360051779077,7.065578610503732,11,0.5810089111328125
179,-1097.1645604987646,1156.268442719882,11.18790824629549,26,0.5743823051452637
180,-1191.4956217912006,432.7168433923258,12.321263384618272,28,0.5738363265991211
181,-2470.4941557796283,1186.615157128509,25.510019298302684,59,0.5685142874717712
182,-1131.9322875509902,474.6156954664178,11.704583058767307,24,0.570591151714325
183,-1222.1886677269615,970.4175126920675,12.535211640344999,28,0.5676974654197693
184,-899.4560121942762,546.2710416252273,9.255526993351788,19,0.5692088007926941
185,-885.4776086301716,589.8166439033495,9.100846622417757,17,0.5725324153900146
186,-518.6546845825155,775.39554597802,5.2416330589891125,4,0.5759974718093872
187,-885.6780693173804,757.9447139639666,9.08301223998022,16,0.5788598656654358
188,-1030.3094066106964,1031.5165470124239,10.518011204900498,24,0.5728707313537598
189,-668.4494099034058,785.427414982875,6.799383975039041,12,0.5758962035179138
190,-852.4483217805764,681.2652455421049,8.73773975905974,15,0.5770223736763
191,-844.0441017622151,989.8792355367905,8.58590121928624,15,0.5761808753013611
192,-2027.5699010362403,1432.2750667715936,20.822129163550088,44,0.5844154953956604
