episode,total_reward,total_energy_cost_p,avg_comfort_penalty
0,-1725.1732417748435,1706.817797393909,0.1912025456347308
1,-1817.6315004181938,1646.2557328053435,1.7851642459671826
2,-1539.8188245276895,1534.8230618921568,0.05203919412012612
3,-1601.795111207619,1597.6372207507118,0.04331135892611096
4,-1329.3577083820871,1286.0573813962092,0.4510450727695589
5,-1518.8788103558798,1412.0555494646665,1.1127423009501376
6,-1673.597759207164,1551.4171317609982,1.2727148692308994
7,-1805.41182190212,1464.91040041528,3.5468898071545794
8,-1655.956760937789,1558.8782773518246,1.0112342040204674
9,-1476.0318920548473,1470.2042683184445,0.060704413920864224
10,-1723.0464659093195,1690.8554981460004,0.3353225808679057
11,-1835.300752395146,1799.7610465169223,0.3702052695648202
12,-1588.4431686559576,1360.0663292118927,2.3789254108756688
13,-1568.5487656305334,1565.132325025221,0.035587922972007545
14,-1831.8100508860293,1502.2710837123095,3.43269757472625
15,-1922.5786748405799,1794.8287678854833,1.3307281974489278
16,-1815.2749013814334,1774.2839605772865,0.4269889667098663
17,-1705.1253293558686,1527.4594015816035,1.850686747648597
18,-1754.5092695262845,1537.6956969411608,2.2584747144283788
19,-2057.2058298338584,1504.0441944919557,5.762100368144814
20,-1704.2123646417049,1440.1644816726252,2.7504987809279218
21,-2231.2837885248973,846.4415641246087,14.425439837503001
22,-1737.0583548719655,335.912341770235,14.595270969809695
23,-2862.863062646726,233.6672043875334,27.387456856866592
24,-1932.0386829988472,179.76263311763182,18.252875519595992
25,-2186.571991213762,183.33400699850458,20.8670623355756
26,-1464.9876158904267,177.2286153083049,13.414156256063768
27,-1089.817697950967,197.08033743502892,9.299347505374355
28,-1231.257525797799,182.59855113010576,10.923530986121802
29,-951.555132708828,192.51297893534337,7.906689101807131
30,-2734.7531554580496,189.93309555768943,26.508542290628753
31,-1844.3043612485208,212.23592588820344,17.000712868336645
32,-1886.6205574176656,253.4855438332706,17.01182305817078
33,-2104.9013246767213,277.37510466686604,19.03673145843599
34,-878.7417156002844,191.84062621629732,7.155219681083197
35,-2884.8510944946092,1066.736581569325,18.93869284297171
36,-2452.1954761055367,688.5351075871366,18.37146217206666
37,-3074.2442051824746,1296.0755876898245,18.52258976554842
38,-3102.5013043382623,710.7825625586023,24.91373689353814
39,-1032.1170602701222,190.15515982276392,8.770436462993318
40,-1665.624819690811,256.66180023400216,14.676698119341753
41,-2042.2032555710223,344.3905368849666,17.68554915297975
42,-1240.5848895304698,194.1634285402819,10.900223551981126
43,-1887.9939152910117,310.26030918434327,16.434725063611126
44,-1514.066214796878,323.60339261132793,12.400654397766145
45,-1301.6596229208203,268.95685158622337,10.75732053473539
46,-2413.67539606992,581.6192700034986,19.08391797985855
47,-1388.5491122902718,208.35178549593363,12.293722154107686
48,-1735.56012346344,466.68574578165806,13.217441434185227
49,-2541.6135215079403,511.8861539985935,21.142993411555697
50,-2123.666638135531,216.4822098589462,19.86650446121442
51,-1106.6313769225426,528.6690709063193,6.020440687668994
52,-1662.5407265974422,400.2362081283083,13.149005400720144
53,-917.3344438696354,423.3129378309594,5.146057354569542
54,-846.8260401131274,533.2876617283612,3.2660247748413163
55,-2292.370573012162,551.0830725562514,18.1384114630824
56,-2011.6218570299454,648.2035147335112,14.202274398921185
57,-733.4164045116797,526.3293337712446,2.157156986879533
58,-2214.1310022736843,516.7746391347005,17.680795449364414
59,-1634.9545479529952,420.6243658012322,12.649272730747535
60,-1004.7808437651904,517.9126278862,5.071543915406147
61,-2668.2485271726537,459.9397865302459,23.00321604835841
62,-1466.7994217204996,634.4144058310765,8.670677248848152
63,-2050.356514760184,439.5657770542542,16.77907018443677
64,-991.32681335021,441.1850515958567,5.730643351607846
65,-723.3920299810102,433.87344375843963,3.01581860648511
66,-1563.1735891170688,427.5941578710017,11.828952408813203
67,-1181.5719852294355,758.3109507259355,4.408969109411461
68,-979.3845226673683,495.2643950558248,5.042917995953581
69,-1099.2404624594676,583.4240222907106,5.373087918424552
70,-2445.72106218646,345.78416959728133,21.87434263113728
71,-1102.666069372301,544.9550051693898,5.809490252113659
72,-1100.749797357484,569.8078282006578,5.5306455120502775
73,-969.5447171314436,446.41676569682795,5.449249494110579
74,-870.3642523493769,551.3511458004848,3.3230531932176235
75,-1055.3871111425274,393.32776563071366,6.896451515748061
76,-920.3403971352195,549.5512808908844,3.862386627545158
77,-2106.212245112598,379.36593123615353,17.98798243621296
