episode,total_reward,total_energy_cost_p,avg_comfort_penalty,violations
0,-4367.140438264615,1152.4362163450676,45.291059520184525,92
1,-5013.698383747578,1458.6758191226106,51.94088403505341,57
2,-4573.160539363037,1760.526968151819,47.291666666666664,96
3,-5716.4504429514855,1417.1815644045942,59.28444595482703,64
4,-4463.963106955451,1065.7234248891991,46.303631650600686,56
5,-6129.335986299978,1340.0322021826562,63.568597315170024,64
6,-4639.559734715447,1398.1583060680268,48.04423508952173,62
7,-5679.868300949869,1261.4347318815346,58.904058399085805,62
8,-5840.579439071919,1521.6753933268442,60.5259992833894,64
9,-6130.33093951457,1477.006764314498,63.57073754404459,64
10,-4550.4398560859,1524.2323856925925,47.09172092054217,96
11,-5612.398213885908,1744.1942070209902,58.147545101515504,62
12,-5345.11755549266,1349.8138707370347,55.430950813311675,64
13,-4318.139657444565,1142.5727993105588,44.792064598524526,92
14,-4270.3946559734195,1500.7164787331888,44.21854506665371,93
15,-4545.426366829519,1403.8183414759203,47.083333333333336,96
16,-1377.3329483699424,1275.685918952784,14.101762812405068,34
17,-4586.794910497905,1387.2455248953684,47.5,96
18,-5143.674930632367,1391.9601129736723,53.292559670550965,61
19,-4255.249749273152,1371.6700827031932,44.0496494543655,89
20,-5955.066144105083,1378.7892656064625,61.745732904093266,63
21,-3821.6872279019985,1820.5672431167056,39.429957114996505,56
22,-4602.763001879697,2143.1500939847606,47.5,96
23,-4568.87381270671,1478.6906353355632,47.291666666666664,96
24,-4502.906158049638,1010.6269066749752,46.69472520745978,96
25,-5442.351722591114,1679.4025625834436,56.36212157645257,32
26,-5227.389095235614,1085.9381093125783,54.27573263593086,58
27,-3760.771352916797,1441.4280036570387,38.90721659212142,32
28,-4639.132386009029,1535.604722879151,48.02989887032758,64
29,-4102.504395646509,1314.2792867222188,42.475195936584015,87
30,-5684.222369664776,1251.982191863002,58.960757560703286,62
31,-5682.653578288141,1582.1565000658277,58.86885883632109,64
32,-4109.31795378561,1380.087525038886,42.543397950883666,57
33,-6094.83490977559,1488.304489272547,63.180925208230626,64
34,-4583.076499283144,1186.3249641571388,47.5,96
35,-5031.329367371974,1779.0290628096816,52.08748735537271,62
36,-4584.834728042894,1351.7364021447775,47.5,96
37,-4363.493221728331,1471.6226971785936,45.148549664424564,91
38,-4777.717467784965,1171.096166485534,49.55412025474223,64
39,-5565.089396874662,1426.1587103509753,57.706418986121264,32
40,-5049.523120457442,1474.1269354537394,52.31136022654548,60
41,-4486.363251227106,1401.713190883887,46.44092695218154,95
42,-4500.150968519881,1609.4986935596505,46.54386452759053,60
43,-4091.5805259912663,1477.4476963565742,42.318558042334736,55
44,-4288.092943498492,1455.5468348193153,44.38470840418859,91
45,-5034.1095368724355,1831.2347136546523,52.05713377707648,55
46,-5789.592827718378,1660.13365049794,59.97020994487938,62
47,-4579.564750951565,1090.7375475782035,47.5,96
48,-4496.561803099157,2414.746975747899,46.34496732900208,94
49,-4931.276897933738,1462.2272882767359,51.089399501752105,61
50,-6029.817343487453,1416.1552218594472,62.54733582344022,62
51,-4633.88136133774,1422.436789168051,47.9821106828581,60
52,-5474.796875094988,1627.1257617497536,56.697441248541566,62
53,-4547.902313223453,1391.058145744012,47.095116149047634,95
54,-4385.859106904467,1410.8365169003782,45.41346225590062,94
55,-5592.246704017131,1024.3275827803616,58.08604325376587,63
56,-2873.686740570447,1196.4656804028964,29.693306530858223,49
57,-4511.208101327479,1705.4050663740202,46.666666666666664,96
58,-4974.513148717219,954.1134485956804,51.64198833068027,60
59,-4398.800423429174,1602.30684574588,45.48962798452351,93
60,-4476.541619336749,1452.0368092152119,46.34271753283797,95
61,-5107.10447266673,1512.7849827024113,52.904153885548766,63
62,-4472.34243994452,1322.2040261756429,46.32654541063551,94
63,-5017.340467690321,989.863526049541,52.074408303847186,60
64,-5595.884628984167,1412.947185790248,58.01328838821211,64
65,-4841.5458477619295,1289.521685669369,50.182348063005634,62
66,-5919.703067301706,1602.0262652103586,61.33190147914059,61
67,-4969.76705256972,1693.9459253685827,51.432688896482794,60
68,-6084.365821830894,1760.2296739976528,63.039179461988994,64
69,-4279.336343927163,1363.2755367793432,44.34240451241224,91
70,-5535.093369246191,1314.4206071841093,57.39328080315115,32
71,-4344.468487313231,1723.925689224057,44.89781222425781,92
72,-4621.95525510113,1392.0932807343092,47.8761811404838,61
73,-4389.1993182202,1624.1136478794435,45.427260888152205,92
74,-4571.6885964764215,1626.9298238210408,47.291666666666664,96
75,-4463.427638379963,1531.017100121215,46.20372183726604,93
76,-4866.999316103235,1447.5793177117469,50.42445551821874,64
77,-5041.645518596306,1494.7157345910769,52.245325040671695,59
78,-4098.733400352181,1247.3995580926717,42.47745217906589,85
79,-4536.529718948025,861.4366390418281,47.09167693924158,95
80,-5015.55695665668,1595.0403449805262,51.91985572663615,62
81,-4514.269194198668,1871.7077786951588,46.66598998567463,95
82,-4480.755097681103,1312.5085700467632,46.4266138154184,95
83,-4899.855409410403,1950.1433054029128,50.65367232606611,32
84,-5662.744788276045,1661.9778934740418,58.665158650068385,63
85,-4554.398351433868,849.9175716933295,47.291666666666664,96
86,-4096.794346238562,1830.0795702753348,42.30252869617766,89
87,-4672.187606361039,1370.8440794881042,48.417924216367474,59
88,-4588.66523478221,1578.2617391105118,47.5,96
89,-4456.568401739138,3055.6874592581958,45.79119429743721,94
90,-4914.184609384572,1436.5217816696797,50.890668476574774,62
91,-4763.253885528756,1298.3768184854089,49.357670303740086,61
92,-4177.075185065213,1528.6835252893711,43.19689077666067,90
93,-6099.944364068952,1408.267989466576,63.250302127912725,64
94,-4705.502694965599,1817.316554516529,48.65371212370072,62
95,-4126.494458717493,1483.6365680718268,42.72105965995893,32
96,-4279.564316143844,1904.7677621473936,44.220510009384306,89
97,-4403.119143097787,1281.7444217936156,45.62952348606159,94
98,-5323.199585865141,1386.0320104637026,55.18050985058193,32
99,-3642.601811464972,1492.263351386649,37.66152650455458,81
100,-3894.139214034488,1179.1631963082289,40.368291146961695,32
101,-4524.0101188016015,1552.9049730234065,46.845854368136806,95
102,-4736.475947520781,1274.4411345127587,49.11392838365132,64
103,-5829.371157484058,1419.7635630540262,60.42683214815599,62
104,-5990.42443018436,1131.5911629253112,62.173881322144304,64
105,-2686.8913611279304,975.1899199464884,27.79414127842709,55
106,-1489.116582534427,409.0810021014912,15.436301692629137,27
107,-2248.0999670889646,592.2208553119707,23.304224478986722,37
108,-3824.8996769833793,573.3902043726965,39.75345700933254,64
109,-4058.5154672473345,610.7196443726787,42.148969524582085,63
110,-4553.371864605085,446.90161799446247,47.34097741922079,96
111,-3285.8404179338218,498.0679507010136,34.157594363747926,61
112,-4737.2928794425015,155.55617529807,49.3164766243389,64
113,-2563.3389118366413,474.959466699225,26.611351276069353,55
114,-2774.471463145425,292.37945670584463,28.84035285428446,64
115,-3116.143217034323,1694.912113834273,32.106718487058714,61
116,-3175.4304261408183,299.29318231424054,33.015568359318046,80
117,-4567.374834126785,483.74170633923774,47.5,96
118,-3139.63019789152,223.24052852798548,32.668910284593345,45
119,-4506.198354956095,2136.4339844598016,46.49447578403019,96
120,-2237.651986222442,751.3793936002234,23.152337482817057,44
121,-2414.4406273808704,742.6662073542918,24.995701075351917,43
122,-2310.6889720726913,838.3414343057815,23.895022326943504,37
123,-4356.148987041538,283.0491736972036,45.317583370495775,64
124,-2145.3931387187117,473.08022739994465,22.249286814278253,49
125,-2798.725086386403,1336.1814942864958,28.87501517188201,46
126,-2132.2295411023174,670.0582458043473,22.071128918606565,43
127,-2763.812895837143,484.6684676328931,28.703328400880054,59
128,-3679.2634108623297,127.6418623447617,38.29906847516077,76
129,-1686.5524435876678,713.1599309132973,17.419679635097932,36
130,-2295.013735147732,671.5050243827118,23.76649619437582,30
131,-3672.5402916195926,102.1054892170605,38.234356060783874,64
132,-1850.0848643648033,624.5008705939338,19.14161298909297,42
133,-4588.0321382188395,1401.606910941982,47.5,96
134,-626.8345998830592,430.18404174782745,6.43990540675107,3
135,-1574.150889373903,270.1005217991458,16.341134155603346,33
136,-1375.4708724857633,426.9903471827759,14.238865266063627,35
137,-3575.8488844270696,244.64428193067417,37.19745832071308,76
138,-3151.5442343596164,1320.7327689365293,32.56280811438421,64
139,-3685.2644527888406,1070.3958390130351,38.18340141675605,84
140,-1366.5655718311043,77.06768479257696,14.219002272242221,28
141,-2184.1192276468114,916.3769026852784,22.560330099928176,46
142,-1834.1964521149016,1274.2674927111525,18.84074064854874,27
143,-3659.2342612409834,154.66248785551664,38.08480220295702,64
144,-1355.660896150412,-13.09016862510154,14.124194786697023,37
145,-1866.866381012584,367.73523459272997,19.36991329500759,39
146,-1909.3686154901754,572.4064542059643,19.770005066729748,44
147,-2064.118010013432,580.6497477353945,21.380260573528375,47
148,-1814.67423745413,919.2451505540888,18.711347233781748,29
149,-1332.9166823020068,411.0684515086532,13.798909513248274,21
150,-1490.731513598059,1034.1479759318618,15.313005771660642,27
151,-2238.8986643108697,814.4475790900616,23.152184507594455,46
152,-1571.356848307786,209.5489390409862,16.32464447423924,48
153,-2954.760518328833,731.9900869497421,30.626257464477487,47
